Symbol
ACC.NS
ABBOTINDIA.NS
ADANIENT.NS
ADANIGREEN.NS
ADANIPORTS.NS
ADANITRANS.NS
ALKEM.NS
AMBUJACEM.NS
APOLLOHOSP.NS
ASIANPAINT.NS
AUROPHARMA.NS
DMART.NS
AXISBANK.NS
BAJAJ-AUTO.NS
BAJFINANCE.NS
BAJAJFINSV.NS
BAJAJHLDNG.NS
BANDHANBNK.NS
BERGEPAINT.NS
BPCL.NS
BHARTIARTL.NS
BIOCON.NS
BOSCHLTD.NS
BRITANNIA.NS
CADILAHC.NS
CIPLA.NS
COALINDIA.NS
COLPAL.NS
DLF.NS
DABUR.NS
DIVISLAB.NS
DRREDDY.NS
EICHERMOT.NS
GAIL.NS
GLAND.NS
GODREJCP.NS
GRASIM.NS
HCLTECH.NS
HDFCAMC.NS
HDFCBANK.NS
HDFCLIFE.NS
HAVELLS.NS
HEROMOTOCO.NS
HINDALCO.NS
HINDPETRO.NS
HINDUNILVR.NS
HDFC.NS
ICICIBANK.NS
ICICIGI.NS
ICICIPRULI.NS
ITC.NS
IOC.NS
IGL.NS
INDUSTOWER.NS
INDUSINDBK.NS
NAUKRI.NS
INFY.NS
INDIGO.NS
JSWSTEEL.NS
JUBLFOOD.NS
KOTAKBANK.NS
LTI.NS
LT.NS
LUPIN.NS
MRF.NS
M&M.NS
MARICO.NS
MARUTI.NS
MUTHOOTFIN.NS
NMDC.NS
NTPC.NS
NESTLEIND.NS
ONGC.NS
PETRONET.NS
PIDILITIND.NS
PEL.NS
POWERGRID.NS
PGHH.NS
PNB.NS
RELIANCE.NS
SBICARD.NS
SBILIFE.NS
SHREECEM.NS
SIEMENS.NS
SBIN.NS
SUNPHARMA.NS
TCS.NS
TATACONSUM.NS
TATAMOTORS.NS
TATASTEEL.NS
TECHM.NS
TITAN.NS
TORNTPHARM.NS
UPL.NS
ULTRACEMCO.NS
UBL.NS
MCDOWELL-N.NS
VEDL.NS
WIPRO.NS
YESBANK.NS
3MINDIA.NS
ABB.NS
POWERINDIA.NS
AIAENG.NS
APLAPOLLO.NS
AUBANK.NS
AARTIDRUGS.NS
AARTIIND.NS
AAVAS.NS
ATGL.NS
ABCAPITAL.NS
ABFRL.NS
ADVENZYMES.NS
AEGISCHEM.NS
AFFLE.NS
AJANTPHARM.NS
AKZOINDIA.NS
ALEMBICLTD.NS
APLLTD.NS
ALKYLAMINE.NS
ALOKINDS.NS
AMARAJABAT.NS
AMBER.NS
ANGELBRKG.NS
APOLLOTYRE.NS
ASAHIINDIA.NS
ASHOKLEY.NS
ASHOKA.NS
ASTERDM.NS
ASTRAZEN.NS
ASTRAL.NS
ATUL.NS
AVANTIFEED.NS
BASF.NS
BEML.NS
BSE.NS
BAJAJCON.NS
BAJAJELEC.NS
BALAMINES.NS
BALKRISIND.NS
BALMLAWRIE.NS
BALRAMCHIN.NS
BANKBARODA.NS
BANKINDIA.NS
MAHABANK.NS
BATAINDIA.NS
BAYERCROP.NS
BDL.NS
BEL.NS
